名称,代码,类型,规模,风格-类型,阶段涨幅-今年以来,阶段涨幅-近1周,阶段涨幅-近1月,阶段涨幅-近3月,阶段涨幅-近6月,阶段涨幅-近1年,阶段涨幅-近2年,阶段涨幅-近3年,经理-个数,经理-1-名字,经理-1-管理数量,经理-1-从业时间,经理-1-从业年均回报,经理-1-从业最大盈利,经理-1-从业最大跌幅,经理-2-名字,经理-2-管理数量,经理-2-从业时间,经理-2-从业年均回报,经理-2-从业最大盈利,经理-2-从业最大跌幅,经理-3-名字,经理-3-管理数量,经理-3-从业时间,经理-3-从业年均回报,经理-3-从业最大盈利,经理-3-从业最大跌幅,风险-年化夏普比率-1年,风险-年化夏普比率-2年,风险-年化夏普比率-3年
招商安润灵活配置混合,126,混合型,2.59亿,个股交易风格,67.16%,-4.70%,0.62%,2.16%,44.24%,80.85%,124.05%,124.05%,2,尹晓红,7只,3年200天,11.74%,141.59%,-21.48%,钟S,2只,3年245天,19.94%,141.59%,-37.32%,--,--,--,--,--,--,2.54,2.06,1.56
广发竞争优势混合,529,混合型,7.35亿,行业精选风格,56.89%,-1.79%,1.85%,3.49%,54.26%,62.81%,139.86%,85.82%,1,苗宇,4只,5年255天,20.42%,217.18%,-58.04%,--,--,--,--,--,--,--,--,--,--,--,--,2.27,1.79,0.93
博时裕隆混合,652,混合型,18.75亿,个股精选风格,45.79%,-2.68%,1.94%,10.93%,42.06%,69.52%,122.04%,100.85%,1,陈鹏扬,8只,5年62天,9.56%,223.58%,-27.54%,--,--,--,--,--,--,--,--,--,--,--,--,2.3,1.72,1.09
嘉实医疗保健股票,711,股票型,16.37亿,行业精选风格,56.09%,-6.08%,-1.66%,-3.13%,34.47%,59.60%,116.77%,88.22%,1,颜媛,5只,5年216天,21.25%,220.36%,-43.14%,--,--,--,--,--,--,--,--,--,--,--,--,2.29,1.5,0.98
鹏华医疗保健股票,780,股票型,14.97亿,行业精选风格,61.38%,-5.32%,0.00%,-9.70%,33.85%,66.21%,130.62%,104.18%,1,郎超,1只,2年196天,27.98%,195.69%,-34.99%,--,--,--,--,--,--,--,--,--,--,--,--,2.3,1.6,1.07
工银医疗保健股票,831,股票型,51.81亿,行业精选风格,57.45%,-6.86%,-0.03%,-12.24%,19.94%,64.17%,135.29%,97.99%,2,赵蓓,5只,5年341天,22.21%,292.24%,-56.95%,谭冬寒,5只,4年53天,48.90%,235.70%,-37.35%,--,--,--,--,--,--,2.37,1.68,1.06
农银医疗保健股票,913,股票型,32.28亿,行业精选风格,65.43%,-6.66%,0.92%,-6.34%,36.87%,69.65%,176.59%,152.81%,1,赵伟,5只,3年127天,45.98%,248.91%,-35.79%,--,--,--,--,--,--,--,--,--,--,--,--,2.23,1.83,1.24
南方产业活力股票,955,股票型,9.81亿,行业轮动风格,43.95%,-4.48%,0.29%,-3.31%,29.39%,53.01%,92.20%,46.52%,1,蒋秋洁,8只,5年311天,12.13%,235.82%,-48.57%,--,--,--,--,--,--,--,--,--,--,--,--,2.04,1.33,0.44
招商医药健康产业股票,960,股票型,22.40亿,行业精选风格,83.07%,-7.29%,0.21%,-6.45%,37.54%,80.78%,181.66%,151.04%,1,李佳存,4只,5年268天,10.77%,294.67%,-56.44%,--,--,--,--,--,--,--,--,--,--,--,--,2.59,1.95,1.3
嘉实逆向策略股票,985,股票型,9.73亿,个股精选风格,37.71%,-5.26%,-1.75%,2.32%,29.09%,46.99%,127.05%,49.84%,1,曲盛伟,2只,2年317天,26.94%,172.83%,-28.07%,--,--,--,--,--,--,--,--,--,--,--,--,1.32,1.31,0.44
工银战略转型股票,991,股票型,16.96亿,行业精选风格,85.93%,-2.16%,-0.36%,12.24%,65.03%,106.35%,190.63%,136.39%,1,杜洋,9只,5年251天,28.17%,290.45%,-52.59%,--,--,--,--,--,--,--,--,--,--,--,--,3.5,2.22,1.32
华安物联网主题股票,1028,股票型,10.44亿,行业精选风格,29.91%,-4.45%,-2.15%,-7.18%,23.03%,46.08%,109.19%,42.96%,1,翁启森,4只,10年36天,5.93%,222.75%,-61.30%,--,--,--,--,--,--,--,--,--,--,--,--,1.4,1.23,0.42
嘉实企业变革股票,1036,股票型,9.18亿,行业轮动风格,36.07%,-4.02%,-0.69%,-0.25%,27.18%,52.81%,110.55%,58.33%,1,谢泽林,2只,5年45天,3.43%,139.60%,-38.06%,--,--,--,--,--,--,--,--,--,--,--,--,1.82,1.34,0.63
嘉实先进制造股票,1039,股票型,11.23亿,行业精选风格,52.15%,-4.79%,-2.39%,-1.73%,37.42%,73.77%,143.87%,70.97%,1,张淼,1只,5年250天,8.68%,178.57%,-48.62%,--,--,--,--,--,--,--,--,--,--,--,--,2.57,1.76,0.76
嘉实新消费股票,1044,股票型,16.80亿,个股精选风格,52.12%,-2.54%,2.04%,3.19%,41.02%,57.21%,97.06%,77.34%,1,谭丽,6只,3年197天,20.13%,135.34%,-32.62%,--,--,--,--,--,--,--,--,--,--,--,--,2.49,1.43,0.96
光大保德信国企改革股票,1047,股票型,8.70亿,行业轮动风格,41.30%,-2.57%,-1.56%,-2.32%,34.28%,55.59%,96.67%,64.81%,2,林晓凤,4只,1年364天,31.22%,125.90%,-18.48%,董伟炜,7只,5年158天,10.51%,207.74%,-50.14%,--,--,--,--,--,--,1.99,1.45,0.76
华安新丝路主题股票,1104,股票型,13.09亿,行业精选风格,57.27%,-3.95%,1.16%,-0.31%,46.09%,65.45%,158.29%,117.31%,1,谢昌旭,8只,1年359天,42.08%,181.37%,-16.20%,--,--,--,--,--,--,--,--,--,--,--,--,2.48,2.24,1.32
上投摩根卓越制造股票,1126,股票型,20.59亿,行业精选风格,67.14%,-4.55%,0.00%,-1.03%,50.54%,82.48%,180.92%,99.35%,1,李德辉,6只,3年341天,34.62%,217.34%,-30.65%,--,--,--,--,--,--,--,--,--,--,--,--,3.07,2.54,1.1
工银养老产业股票,1171,股票型,16.69亿,行业精选风格,68.96%,-6.24%,0.00%,-8.83%,22.60%,77.46%,143.91%,112.03%,1,赵蓓,5只,5年341天,22.21%,292.24%,-56.95%,--,--,--,--,--,--,--,--,--,--,--,--,2.95,1.84,1.2
富国文体健康股票,1186,股票型,8.12亿,行业轮动风格,65.41%,-4.21%,0.30%,5.97%,50.52%,89.24%,138.00%,108.13%,1,林庆,1只,5年172天,13.72%,282.71%,-53.41%,--,--,--,--,--,--,--,--,--,--,--,--,3.65,2.07,1.25
工银农业产业股票,1195,股票型,10.43亿,个股交易风格,61.18%,-2.99%,1.31%,3.09%,40.59%,63.96%,132.20%,93.56%,1,杨柯,1只,7年192天,6.29%,190.58%,-65.31%,--,--,--,--,--,--,--,--,--,--,--,--,2.6,1.6,0.93
易方达新收益混合A,1216,混合型,2.14亿,个股精选风格,52.34%,-3.73%,-0.16%,7.81%,48.78%,67.11%,148.01%,152.63%,1,张清华,13只,6年306天,14.88%,212.08%,-25.87%,--,--,--,--,--,--,--,--,--,--,--,--,2.67,2.66,2.05
鹏华医药科技股票,1230,股票型,20.20亿,行业精选风格,65.11%,-3.99%,2.12%,-4.07%,38.02%,66.67%,122.22%,86.62%,1,金笑非,2只,4年123天,20.07%,171.43%,-39.18%,--,--,--,--,--,--,--,--,--,--,--,--,2.23,1.4,0.89
博时丝路主题股票A,1236,股票型,6.22亿,个股交易风格,46.30%,-2.98%,1.90%,3.04%,42.91%,66.87%,113.08%,84.46%,1,沙炜,2只,5年156天,14.05%,206.53%,-48.08%,--,--,--,--,--,--,--,--,--,--,--,--,2.19,1.49,0.86
工银生态环境股票,1245,股票型,10.59亿,行业轮动风格,61.32%,-5.05%,-0.54%,3.10%,52.77%,75.51%,132.44%,48.23%,2,何肖颉,6只,15年263天,10.64%,184.91%,-52.68%,闫思倩,3只,3年8天,29.70%,167.67%,-39.20%,--,--,--,--,--,--,2.62,1.74,0.57
农银信息传媒股票,1319,股票型,11.95亿,行业精选风格,31.94%,-4.33%,-2.08%,-9.25%,21.19%,49.20%,97.08%,43.20%,1,韩林,3只,4年174天,16.98%,144.14%,-35.37%,--,--,--,--,--,--,--,--,--,--,--,--,1.46,1.15,0.46
建信互联网+产业升级股票,1396,股票型,9.86亿,个股交易风格,39.27%,0.00%,4.17%,5.12%,40.29%,51.98%,101.58%,48.07%,1,何|华,3只,5年191天,1.04%,119.81%,-46.50%,--,--,--,--,--,--,--,--,--,--,--,--,1.72,1.3,0.49
招商移动互联网产业股票,1404,股票型,11.55亿,行业精选风格,31.45%,-5.22%,-4.44%,-13.86%,28.97%,43.81%,86.82%,45.43%,1,张林,7只,5年95天,11.33%,157.24%,-38.57%,--,--,--,--,--,--,--,--,--,--,--,--,1.29,1.05,0.53
中银智能制造股票,1476,股票型,17.37亿,行业精选风格,72.21%,-3.00%,3.84%,10.41%,68.49%,97.03%,150.66%,50.51%,1,王伟,3只,5年256天,5.52%,194.73%,-62.55%,--,--,--,--,--,--,--,--,--,--,--,--,2.87,1.69,0.48
泓德远见回报混合,1500,混合型,54.13亿,个股精选风格,52.01%,-4.21%,-0.35%,5.29%,49.71%,62.10%,123.39%,107.12%,1,邬传雁,6只,5年138天,14.49%,194.26%,-22.50%,--,--,--,--,--,--,--,--,--,--,--,--,2.65,1.8,1.22
国泰互联网+股票,1542,股票型,12.67亿,个股精选风格,52.44%,-5.61%,-3.17%,-2.20%,45.83%,55.88%,93.58%,51.05%,1,彭凌志,4只,4年328天,17.19%,239.88%,-39.55%,--,--,--,--,--,--,--,--,--,--,--,--,1.68,1.11,0.53
嘉实环保低碳股票,1616,股票型,33.99亿,行业精选风格,67.21%,-2.63%,2.03%,3.13%,52.49%,97.12%,184.63%,77.45%,1,姚志鹏,8只,4年178天,20.85%,222.34%,-41.97%,--,--,--,--,--,--,--,--,--,--,--,--,2.64,1.91,0.67
泓德泓业混合,1695,混合型,13.50亿,个股精选风格,48.14%,-3.23%,1.76%,6.50%,42.99%,62.24%,113.79%,88.45%,2,李倩,23只,4年308天,7.19%,142.19%,-22.26%,秦毅,6只,3年145天,33.50%,192.15%,-21.27%,--,--,--,--,--,--,3.3,2.06,1.23
工银文体产业股票,1714,股票型,68.93亿,行业精选风格,56.44%,-2.40%,-0.52%,4.44%,47.73%,72.70%,147.54%,128.02%,1,袁芳,6只,4年299天,36.69%,257.05%,-20.43%,--,--,--,--,--,--,--,--,--,--,--,--,2.61,2.01,1.35
圆信永丰优加生活股票,1736,股票型,10.03亿,个股交易风格,55.14%,-2.93%,0.55%,2.53%,38.68%,68.81%,100.71%,74.23%,1,范妍,10只,4年362天,15.96%,185.09%,-32.80%,--,--,--,--,--,--,--,--,--,--,--,--,2.7,1.49,0.92
国泰智能汽车股票,1790,股票型,43.98亿,个股精选风格,62.29%,0.63%,8.26%,15.98%,50.99%,110.80%,151.22%,63.65%,1,王阳,3只,1年346天,70.10%,171.26%,-26.72%,--,--,--,--,--,--,--,--,--,--,--,--,2.6,1.28,0.45
景顺长城环保优势股票,1975,股票型,45.81亿,个股精选风格,45.18%,-2.99%,1.78%,5.54%,34.59%,63.15%,128.43%,80.44%,1,杨锐文,7只,6年,16.62%,247.41%,-53.23%,--,--,--,--,--,--,--,--,--,--,--,--,2.31,1.77,0.9
富国低碳新经济混合,1985,混合型,26.92亿,个股交易风格,62.96%,-4.91%,-0.04%,-4.50%,45.86%,77.04%,159.26%,105.85%,1,杨栋,3只,5年68天,21.55%,253.93%,-30.87%,--,--,--,--,--,--,--,--,--,--,--,--,2.43,1.84,0.99
华夏经济转型股票,2229,股票型,16.05亿,个股交易风格,50.32%,-4.76%,-1.34%,-4.08%,38.10%,65.79%,104.41%,82.25%,1,张帆,6只,3年292天,28.89%,159.12%,-25.31%,--,--,--,--,--,--,--,--,--,--,--,--,2.43,1.43,0.84
广发利鑫灵活配置混合,2446,混合型,5.47亿,个股交易风格,77.75%,-3.01%,-1.01%,0.70%,46.10%,94.53%,128.61%,133.84%,2,李巍,7只,9年35天,15.46%,493.60%,-60.18%,段涛,1只,160天,103.77%,44.16%,-6.77%,--,--,--,--,--,--,4.29,2.68,2.08
银华盛世精选混合发起式,3940,混合型,49.60亿,行业精选风格,53.83%,-3.76%,0.45%,2.00%,43.22%,65.65%,143.83%,88.16%,2,李晓星,8只,5年110天,26.11%,261.58%,-37.41%,张萍,7只,1年353天,55.06%,185.90%,-21.87%,--,--,--,--,--,--,2.7,1.96,0.99
嘉实前沿科技沪港深股票,4450,股票型,29.52亿,个股精选风格,49.13%,-3.74%,1.87%,1.56%,34.05%,55.55%,109.65%,70.07%,1,张丹华,10只,5年163天,14.74%,230.89%,-47.85%,--,--,--,--,--,--,--,--,--,--,--,--,1.8,1.21,0.65
富国天益价值混合,100020,混合型,65.50亿,行业精选风格,51.17%,-5.18%,0.02%,-0.48%,47.82%,65.04%,128.93%,103.59%,1,唐颐恒,1只,1年94天,58.90%,97.78%,-16.59%,--,--,--,--,--,--,--,--,--,--,--,--,2.45,1.73,1.11
富国天瑞强势混合,100022,混合型,29.52亿,行业轮动风格,63.04%,-3.87%,-0.05%,2.98%,43.10%,74.93%,112.05%,73.80%,1,厉叶淼,3只,5年76天,26.98%,223.96%,-37.41%,--,--,--,--,--,--,--,--,--,--,--,--,2.59,1.59,0.79
大成优选混合LOF,160916,混合型,41.32亿,个股精选风格,41.37%,-4.20%,0.46%,2.88%,31.99%,51.48%,94.39%,68.96%,1,戴军,3只,5年157天,13.86%,194.79%,-40.88%,--,--,--,--,--,--,--,--,--,--,--,--,2.56,1.68,1.02
大成多策略混合LOF,160921,混合型,2.26亿,个股精选风格,45.44%,-4.02%,0.22%,5.84%,31.97%,58.44%,99.69%,57.80%,1,戴军,3只,5年157天,13.86%,194.79%,-40.88%,--,--,--,--,--,--,--,--,--,--,--,--,2.98,2.2,1.01
景顺长城鼎益混合LOF,162605,混合型,56.40亿,个股精选风格,53.26%,-2.12%,2.10%,6.48%,49.73%,58.88%,149.09%,138.29%,1,刘彦春,6只,12年114天,21.62%,351.86%,-47.03%,--,--,--,--,--,--,--,--,--,--,--,--,2.26,1.88,1.35
九泰锐丰混合(LOF)A,168104,混合型,1.15亿,行业轮动风格,47.62%,-3.54%,1.10%,5.28%,49.73%,61.36%,113.91%,82.13%,1,刘开运,11只,5年101天,11.28%,135.10%,-33.09%,--,--,--,--,--,--,--,--,--,--,--,--,2.16,1.49,0.94
银华中小盘混合,180031,混合型,58.74亿,行业精选风格,41.99%,-5.06%,-0.64%,-0.44%,36.73%,58.80%,130.85%,78.93%,3,李晓星,8只,5年110天,26.11%,261.58%,-37.41%,杜宇,1只,318天,55.77%,64.64%,-15.49%,张萍,7只,1年353天,55.06%,185.90%,-21.87%,2.19,1.73,0.87
景顺长城内需增长混合,260104,混合型,16.71亿,个股精选风格,52.33%,-2.15%,2.55%,6.22%,47.63%,60.01%,154.96%,110.49%,1,刘彦春,6只,12年114天,21.62%,351.86%,-47.03%,--,--,--,--,--,--,--,--,--,--,--,--,2.35,2.01,1.1
景顺长城新兴成长混合,260108,混合型,160.49亿,个股精选风格,50.16%,-2.14%,2.24%,4.99%,45.08%,56.89%,148.22%,141.74%,1,刘彦春,6只,12年114天,21.62%,351.86%,-47.03%,--,--,--,--,--,--,--,--,--,--,--,--,2.24,1.9,1.39
景顺长城内需贰号混合,260109,混合型,34.94亿,个股精选风格,49.67%,-2.04%,2.36%,5.22%,44.66%,56.80%,150.68%,101.91%,1,刘彦春,6只,12年114天,21.62%,351.86%,-47.03%,--,--,--,--,--,--,--,--,--,--,--,--,2.24,1.92,1.02
广发大盘成长混合,270007,混合型,38.16亿,行业精选风格,50.62%,-2.03%,1.50%,1.91%,48.96%,56.46%,126.66%,88.78%,1,苗宇,4只,5年255天,20.42%,217.18%,-58.04%,--,--,--,--,--,--,--,--,--,--,--,--,2.04,1.8,0.99
兴全全球视野股票,340006,股票型,21.74亿,行业轮动风格,35.07%,-2.71%,-0.07%,-2.29%,26.22%,44.99%,105.26%,70.20%,1,王品,1只,11年123天,11.98%,174.69%,-40.01%,--,--,--,--,--,--,--,--,--,--,--,--,1.66,1.47,0.76
国富潜力组合混合A,450003,混合型,21.66亿,个股精选风格,51.32%,-3.92%,0.05%,1.10%,39.48%,62.33%,122.31%,87.17%,1,徐荔蓉,6只,17年25天,17.70%,279.41%,-65.78%,--,--,--,--,--,--,--,--,--,--,--,--,2.62,1.84,1.03
国富中小盘股票,450009,股票型,27.98亿,个股精选风格,40.95%,-1.63%,3.34%,7.26%,43.51%,48.54%,100.29%,70.79%,1,赵晓东,6只,11年52天,11.08%,442.71%,-45.43%,--,--,--,--,--,--,--,--,--,--,--,--,2.1,1.47,0.85
工银主题策略混合,481015,混合型,11.33亿,个股交易风格,74.50%,-5.18%,1.46%,6.29%,59.46%,90.98%,159.11%,63.72%,1,黄安乐,4只,8年336天,7.26%,383.25%,-67.77%,--,--,--,--,--,--,--,--,--,--,--,--,2.63,1.54,0.56
新华优选分红混合,519087,混合型,12.36亿,行业精选风格,54.43%,-6.07%,-1.56%,1.17%,46.18%,70.29%,136.18%,94.84%,1,赵强,4只,6年234天,37.85%,192.75%,-33.55%,--,--,--,--,--,--,--,--,--,--,--,--,3.05,1.91,1.11
交银策略回报混合,519710,混合型,4.04亿,行业精选风格,60.67%,0.34%,7.02%,9.33%,57.52%,64.81%,104.06%,70.96%,1,韩威俊,4只,4年279天,26.41%,204.33%,-29.33%,--,--,--,--,--,--,--,--,--,--,--,--,2.46,1.4,0.8
交银消费新驱动股票,519714,股票型,3.88亿,行业精选风格,69.74%,0.18%,7.29%,10.47%,62.34%,75.16%,125.32%,103.88%,1,韩威俊,4只,4年279天,26.41%,204.33%,-29.33%,--,--,--,--,--,--,--,--,--,--,--,--,2.6,1.47,1.02
长信内需成长混合A,519979,混合型,26.39亿,行业精选风格,64.28%,-3.15%,2.35%,4.57%,47.60%,74.00%,134.92%,84.57%,1,安昀,4只,9年5天,26.49%,252.20%,-31.10%,--,--,--,--,--,--,--,--,--,--,--,--,2.74,1.75,0.93
诺德价值优势混合,570001,混合型,15.47亿,个股精选风格,85.25%,-3.06%,0.71%,10.38%,64.41%,95.16%,128.68%,88.29%,1,罗世锋,2只,5年334天,13.28%,276.09%,-43.88%,--,--,--,--,--,--,--,--,--,--,--,--,3.32,1.77,1.02
民生加银景气行业混合A,690007,混合型,16.71亿,趋势跟踪风格,42.15%,-3.82%,0.50%,3.48%,38.45%,53.64%,118.51%,86.86%,1,王亮,5只,2年356天,35.11%,153.64%,-23.59%,--,--,--,--,--,--,--,--,--,--,--,--,2.32,1.88,1.04
